siren,dep
240100750,001
240100628,001
240100883,001
240100172,001
240100602,001
240100610,001
240100800,001
240100891,001
240100354,001
240100156,001
240100735,001
240100875,001
240100818,001
200029999,001
240100826,001
240100644,001
240100909,001
240100685,001
240100693,001
240100636,001
240100727,001
240100594,001
240100669,001
240100677,001
240100651,001
240100578,001
240100842,001
240100339,001
240100701,001
240100396,001
240100370,001
240100438,001
240100412,001
240100941,001
240100743,001
240100867,001
240100347,001
240200261,002
240200477,002
240200410,002
240200683,002
240200493,002
240200618,002
240200444,002
240200600,002
240200576,002
240200501,002
240200584,002
240200469,002
240200428,002
240200691,002
240200279,002
240200485,002
240200436,002
240200568,002
240200527,002
240200642,002
240200659,002
240200550,002
240200626,002
240200634,002
240200451,002
240200519,002
240200592,002
240200402,002
240300426,003
240300608,003
240300616,003
240300699,003
240300582,003
240300533,003
240300640,003
240300590,003
240300707,003
240300491,003
240300558,003
240300731,003
240300657,003
240300418,003
240300715,003
240300566,003
240300681,003
240300756,003
240300624,003
240300673,003
240300723,003
240400457,004
240400465,004
240400291,004
200026854,004
240400283,004
240400440,004
240400473,004
240400374,004
240400366,004
240400382,004
240400408,004
240400499,004
240400135,004
240400531,004
240400515,004
200017762,004
240400523,004
240400507,004
240400481,004
200018190,004
200001071,004
240400275,004
240400010,004
240500439,005
240500363,005
240500314,005
240500470,005
240500462,005
240500389,005
240500199,005
240500488,005
240500215,005
240500397,005
240500223,005
240500413,005
240500421,005
240500454,005
240500330,005
240500322,005
240500181,005
240500348,005
240500405,005
240500447,005
200030195,006
240600585,006
240600460,006
240600551,006
240600593,006
200018109,006
240600486,006
240600569,006
240600502,006
240600528,006
240600494,006
240700666,007
200026706,007
240700310,007
240700856,007
240700781,007
240700864,007
240700880,007
240700708,007
240700674,007
240700831,007
240700815,007
240700757,007
240700716,007
240700302,007
200016905,007
240700799,007
240700617,007
240700823,007
240700773,007
240700286,007
200000982,007
240700849,007
240700641,007
200000966,007
200023877,007
240700625,007
240700336,007
240700328,007
200000594,007
240700740,007
200000644,007
200000974,007
240700575,007
200000636,007
240700807,007
240700765,007
240801001,008
240800953,008
240800862,008
240800821,008
240800847,008
240800920,008
200026318,008
240800987,008
240800946,008
240800870,008
240800961,008
240800995,008
240801019,008
240800979,008
240800904,008
240800839,008
240800854,008
240900407,009
240900381,009
240900464,009
240900324,009
240900332,009
240900415,009
240900431,009
240900456,009
240900522,009
240900266,009
240900530,009
240900423,009
240900357,009
240900480,009
240900472,009
240900373,009
240900506,009
240900449,009
240900498,009
240900316,009
240900555,009
241000397,010
200000545,010
200006716,010
241000413,010
200022846,010
241000405,010
241000488,010
200027035,010
251000832,010
241000421,010
241000447,010
241000363,010
241000223,010
241000454,010
241000439,010
241000462,010
241000496,010
241000280,010
241000470,010
200023273,010
241000256,010
241000389,010
241000264,010
241000116,010
241000371,010
241100593,011
241100460,011
241100551,011
241100601,011
241100320,011
241100544,011
241100445,011
241100411,011
241100569,011
241100353,011
241100452,011
241100429,011
241100486,011
241100346,011
241100585,011
241100312,011
241100510,011
241100478,011
241100627,011
241100494,011
241100379,011
241100536,011
241100437,011
241100619,011
241100338,011
241100361,011
241100304,011
241100643,011
241200187,012
241200567,012
241200633,012
241200724,012
241200641,012
241200823,012
241200690,012
241200815,012
241200658,012
241200674,012
241200765,012
241200799,012
241200625,012
200006070,012
241200781,012
241200542,012
241200609,012
241200807,012
241200732,012
241200666,012
241200591,012
241200716,012
200023216,012
241200617,012
241200856,012
241200906,012
241200773,012
241200054,012
200000735,012
241200914,012
241200864,012
241200831,012
241200849,012
241200880,012
241200583,012
241200872,012
241300391,013
241300276,013
241300201,013
241300268,013
241300177,013
241300417,013
241300409,013
241300383,013
241300375,013
241400498,014
241400803,014
241400555,014
241400514,014
241400415,014
241400381,014
241400860,014
241400886,014
241400878,014
241400746,014
241400837,014
241400811,014
241400902,014
241400621,014
241400696,014
241400779,014
241400894,014
241400613,014
241400712,014
241400639,014
241400647,014
241400720,014
241400787,014
241400795,014
241400704,014
241400910,014
200026185,014
241400548,014
241400753,014
241400670,014
241400688,014
241400738,014
241400829,014
241400589,014
241400522,014
241400761,014
241400845,014
241400662,014
241400530,014
241500230,015
241500297,015
241501139,015
241500271,015
241501055,015
241501048,015
241500917,015
241500255,015
241501063,015
241500289,015
241501089,015
241501022,015
241500248,015
200006781,015
241501014,015
241501030,015
241501071,015
241501097,015
241600253,016
241600345,016
241600568,016
200029734,016
241600543,016
241600527,016
241600329,016
241600410,016
241600469,016
241600303,016
241600493,016
241600519,016
241600436,016
241600352,016
241600394,016
200012136,016
241600592,016
241600386,016
241600378,016
241600360,016
241600337,016
241600428,016
241600535,016
241600451,016
241700434,017
241700640,017
241700400,017
241700566,017
241700707,017
241700483,017
241700624,017
241700459,017
241700582,017
241700525,017
241700699,017
241700517,017
241700392,017
241700632,017
241700681,017
241700509,017
241700533,017
241700467,017
241700657,017
241700608,017
241700574,017
241700616,017
241700475,017
241700491,017
241773043,017
241800507,018
241800515,018
241800358,018
200000933,018
241800234,018
241800457,018
241800374,018
200011781,018
241800523,018
241800341,018
200027001,018
241800465,018
200027076,018
241800424,018
200022515,018
200017853,018
241800325,018
241800432,018
200007177,018
241800218,018
241800440,018
241800408,018
241800531,018
200017788,018
200017861,018
241800473,018
200017879,018
241927300,019
241927201,019
241927417,019
241900133,019
241927276,019
241927250,019
241927243,019
241927367,019
241927342,019
241927375,019
241900109,019
241900117,019
241927334,019
241927391,019
241927235,019
241927383,019
