siren,dep
200029999,01
200035210,01
200040350,01
200040590,01
200042497,01
200042935,01
240100156,01
240100172,01
240100339,01
240100347,01
240100354,01
240100370,01
240100396,01
240100412,01
240100438,01
240100578,01
240100594,01
240100602,01
240100610,01
240100628,01
240100636,01
240100644,01
240100651,01
240100669,01
240100677,01
240100685,01
240100693,01
240100701,01
240100727,01
240100735,01
240100743,01
240100750,01
240100784,01
240100800,01
240100818,01
240100826,01
240100834,01
240100842,01
240100867,01
240100875,01
240100883,01
240100891,01
240100909,01
240100941,01
247104193,01
247400823,01
200040426,02
200043495,02
240200261,02
240200279,02
240200402,02
240200410,02
240200428,02
240200436,02
240200444,02
240200451,02
240200469,02
240200477,02
240200485,02
240200493,02
240200501,02
240200519,02
240200527,02
240200550,02
240200568,02
240200576,02
240200584,02
240200592,02
240200600,02
240200618,02
240200626,02
240200634,02
240200642,02
240200659,02
240200683,02
240200691,02
248000341,02
240300418,03
240300426,03
240300491,03
240300533,03
240300558,03
240300566,03
240300582,03
240300590,03
240300608,03
240300616,03
240300624,03
240300640,03
240300657,03
240300673,03
240300681,03
240300699,03
240300707,03
240300715,03
240300723,03
240300731,03
240300756,03
247104078,03
200001071,04
200017762,04
200018190,04
200026854,04
200034700,04
200034916,04
200040624,04
240400010,04
240400135,04
240400275,04
240400283,04
240400291,04
240400366,04
240400374,04
240400382,04
240400390,04
240400408,04
240400432,04
240400440,04
240400457,04
240400465,04
240400473,04
240400481,04
240400499,04
240400507,04
240400515,04
240400523,04
240400531,04
240500421,04
248400202,04
200040004,05
240500181,05
240500199,05
240500215,05
240500223,05
240500314,05
240500322,05
240500330,05
240500348,05
240500363,05
240500389,05
240500397,05
240500405,05
240500413,05
240500421,05
240500439,05
240500447,05
240500454,05
240500462,05
240500470,05
240500488,05
200006757,06
200018109,06
200030195,06
200039857,06
200039915,06
200039931,06
240600460,06
240600486,06
240600494,06
240600502,06
240600510,06
240600528,06
240600536,06
240600551,06
240600569,06
240600577,06
240600585,06
240600593,06
200000594,07
200000636,07
200000644,07
200000966,07
200000974,07
200000982,07
200016905,07
200023877,07
200026706,07
200035129,07
200038933,07
200039808,07
200039824,07
200039832,07
200040491,07
